index,course_id,first_item_id,num_of_items,dropout_percentage,course_days,forum_counts,assessment_counts,asssignemnt_counts,required_review_counts,grading_types,submission_types,is_graded_x,quiz_is_graded_x,assessment_passing_fraction_x,global_item_time_commitment_x,question_counts_x,checkbox_percentage_x,checkboxReflect_percentage_x,codeExpression_percentage_x,math expression_percentage_x,mcq_percentage_x,mcqReflect_percentage_x,reflect_percentage_x,regex_percentage_x,single numeric_percentage_x,text exact match_percentage_x,is_staff_graded_x,second_item_id,is_graded_y,quiz_is_graded_y,assessment_passing_fraction_y,global_item_time_commitment_y,question_counts_y,checkbox_percentage_y,checkboxReflect_percentage_y,codeExpression_percentage_y,math expression_percentage_y,mcq_percentage_y,mcqReflect_percentage_y,reflect_percentage_y,regex_percentage_y,single numeric_percentage_y,text exact match_percentage_y,is_staff_graded_y
54,FmDuCnEzEeWKsgrp3VnvAw,sXUBE,5,0.2853728683112569,48.14678899082569,8.0,17.0,0.0,0.0,0.0,0.0,True,True,0.5,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,KdOdj,True,True,0.5,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,G_EK_yosEemOsQ7GDsa6cA,T6Qd6,4,0.0,48.0,7.0,7.0,0.0,0.0,0.0,0.0,True,True,1.0,1800000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,p3dPT,True,True,1.0,1800000.0,26.0,0.1923076923076923,0.0,0.0,0.0,0.8076923076923077,0.0,0.0,0.0,0.0,0.0,0.0
60,GutC4Nm9EeWkoRJloSKtsw,aWO8v,6,0.32371794871794873,34.07692307692308,7.0,108.0,0.0,0.0,0.0,0.0,True,True,0.7,1800000.0,17.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,0.4705882352941176,0.0,0.0,25HfX,True,True,0.7,1800000.0,18.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
61,HJ-ixLNjEeuulAq3NfAu8w,aacPC,6,0.19525480059084194,50.880434782608695,10.73913043478261,14.73913043478261,3.0,9.0,1.0,1.0,True,True,0.7,1800000.0,40.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,fwRhV,True,True,0.7,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,HxW1_n3iEeyRTg6FtAvfBw,lNvzG,4,0.14894894894894894,42.023809523809526,5.0,13.0,0.0,0.0,0.0,0.0,True,True,0.7,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cmG7I,True,True,0.7,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Hzr0cNmVEeW6jg7jFY56EQ,uxuh4,5,0.5460526315789473,34.07627118644068,7.0,16.0,0.0,0.0,0.0,0.0,True,True,0.8,1800000.0,100.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,vkIVe,True,True,0.8,1800000.0,100.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
68,ItkVBpbeEeu46w60Xgbpdw,9LZWi,18,0.0,365.0,6.0,86.0,0.0,0.0,0.0,0.0,True,True,0.65,1800000.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,gdAmm,True,True,0.65,1800000.0,12.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
69,JO9WseJDEeaJ4g5huBPuvg,bRg4x,4,0.19530009526833916,40.37765957446808,7.0,43.0,12.0,36.0,1.0,2.0,True,True,0.7,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RfgZF,True,True,0.7,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,KiKJIuAGEeWHHAokaxVUhQ,tPWUP,5,0.0,365.0,8.0,10.0,0.0,0.0,0.0,0.0,True,True,0.8,1800000.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BDJh7,True,True,0.8,1800000.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Kmcx5fCDEeu8Fwo3Sa_Z7Q,bbard,10,0.1945945945945946,41.23913043478261,9.0,57.0,6.0,18.0,2.0,1.0,True,True,0.8,300000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,kX3Q0,True,True,0.8,60000.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,MEgKOpw3EeWILQ7D3uPEMw,eq5o5,4,0.24478582641847949,39.5,8.0,17.91949152542373,0.0,0.0,0.0,0.0,True,True,0.7,1800000.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QS2QC,True,True,0.8,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,N1aVGd_SEeyDlhIByxEPJw,sisPb,4,0.0,365.0,5.0,4.0,0.0,0.0,0.0,0.0,True,True,0.6,1800000.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,aeJgh,True,True,0.6,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,NGp_fFyyEeqOiwpmHr8y8Q,kK0XU,11,0.0879451395572666,55.208695652173915,12.0,96.0,5.0,0.0,0.0,0.0,True,True,0.75,720000.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,KuHcc,True,True,0.75,600000.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,NHES3WhiEemX2A6KfeqjpA,QBhkf,7,0.20164609053497942,54.21917808219178,11.0,63.0,5.0,15.0,1.0,1.0,True,True,0.8,900000.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TrCVj,True,True,0.8,900000.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,OGav0rNjEeuulAq3NfAu8w,ngI3A,4,0.0654534332466738,43.2247191011236,5.0,31.685393258426966,0.0,0.0,0.0,0.0,True,True,0.7,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,qrb9V,True,True,0.7,1800000.0,40.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
85,RahxdMpzEe2Aaw7_Z0q7AQ,QBhkf,7,0.0,365.0,12.0,13.0,1.0,3.0,1.0,1.0,True,True,0.8,900000.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TrCVj,True,True,0.8,900000.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,RebFiiosEemp4gpnJYC-Xg,T6Qd6,4,0.038461538461538464,48.0,7.0,7.0,0.0,0.0,0.0,0.0,True,True,1.0,1800000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,p3dPT,True,True,1.0,1800000.0,26.0,0.1923076923076923,0.0,0.0,0.0,0.8076923076923077,0.0,0.0,0.0,0.0,0.0,0.0
87,SdHxfbfoEeaySxJObWl3bA,eI8ds,6,0.29958890030832475,48.11340206185567,7.0,105.0,0.0,0.0,0.0,0.0,True,True,0.8,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Gq9iz,True,True,0.8,1800000.0,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89,TAcvw8xPEeWY8BJ-M6js0Q,W5DJr,2,0.0,365.0,8.0,74.0,0.0,0.0,0.0,0.0,True,True,0.8,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,plWsX,True,True,0.8,1800000.0,399.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90,TGvAlli6Eea6OBIvyzcuGw,sisPb,4,0.07323232323232323,35.64622641509434,6.981132075471698,12.915094339622641,0.0,0.0,0.0,0.0,True,True,0.6,1800000.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,aeJgh,True,True,0.6,1800000.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,UVymFeESEey0uQ74Jk0S7w,B8sVT,15,0.0,256.6666666666667,6.0,38.0,0.0,0.0,0.0,0.0,True,True,0.65,1800000.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,LM5Jk,True,True,0.65,1800000.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Ux2WtmBXEemE2Q6eJy4pcg,fIkZz,4,0.20597224309835163,37.33112582781457,5.0,24.0,0.0,0.0,0.0,0.0,True,True,0.7,1800000.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BgxLB,True,True,0.7,1800000.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,W7nFdNmPEeWd4wrZhyGl7w,TKQ0p,4,0.40791268758526605,34.07692307692308,7.0,26.0,0.0,0.0,0.0,0.0,True,True,0.8,1800000.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,aFuHH,True,True,0.8,1800000.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,WfKIlcpzEe2heBJoYVaBQQ,9LZWi,18,0.0,365.0,9.0,64.0,0.0,0.0,0.0,0.0,True,True,0.65,1800000.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,gdAmm,True,True,0.65,1800000.0,12.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
96,Y7GjB55UEeyecw4_xU2sgw,IsmZw,5,0.06909090909090909,58.45161290322581,7.0,34.0,0.0,0.0,0.0,0.0,True,True,0.8,900000.0,28.0,0.2857142857142857,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,F7uQm,True,True,0.8,900000.0,20.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
